state,year,sex,age,ethnicity,population,
Johor,2022,Female,50-54,Bumi (Malay),56,
Johor,2022,Female,50-54,Bumi (Other),1,
Johor,2022,Female,50-54,Chinese,39,
Johor,2022,Female,50-54,Indian,7,
Johor,2022,Female,50-54,Other (Citizen),0,
Johor,2022,Female,50-54,Other (Non-Citizen),2,
Johor,2022,Female,55-59,Bumi (Malay),51,
Johor,2022,Female,55-59,Bumi (Other),1,
Johor,2022,Female,55-59,Chinese,34,
Johor,2022,Female,55-59,Indian,6,
Johor,2022,Female,55-59,Other (Citizen),0,
Johor,2022,Female,55-59,Other (Non-Citizen),2,
Johor,2022,Female,60-64,Bumi (Malay),43,
Johor,2022,Female,60-64,Bumi (Other),1,
Johor,2022,Female,60-64,Chinese,31,
Johor,2022,Female,60-64,Indian,5,
Johor,2022,Female,60-64,Other (Citizen),0,
Johor,2022,Female,60-64,Other (Non-Citizen),1,
Selangor,2022,Male,65-69,Bumi (Malay),59,
Selangor,2022,Female,65-69,Bumi (Malay),54,
Selangor,2022,Male,70-74,Bumi (Malay),46,
Selangor,2022,Female,70-74,Bumi (Malay),46,
Johor,2022,Female,65-69,Bumi (Malay),30,
Kedah,2022,Female,65-69,Bumi (Malay),29,
Selangor,2022,Male,65-69,Chinese,29,
Sabah,2022,Male,65-69,Bumi (Other),29,
Selangor,2022,Female,65-69,Chinese,29,
Johor,2022,Male,65-69,Bumi (Malay),28,
Kedah,2022,Male,65-69,Bumi (Malay),26,
Kelantan,2022,Female,65-69,Bumi (Malay),25,
Sabah,2022,Female,65-69,Bumi (Other),25,
Selangor,2022,Female,75-79,Bumi (Malay),25,
Perak,2022,Female,65-69,Bumi (Malay),24,
Kelantan,2022,Male,65-69,Bumi (Malay),22,
Selangor,2022,Female,70-74,Chinese,21,
Selangor,2022,Male,75-79,Bumi (Malay),21,
Kedah,2022,Female,70-74,Bumi (Malay),21,
Perak,2022,Male,65-69,Bumi (Malay),21,
Johor,2022,Female,65-69,Chinese,20,
Johor,2022,Female,70-74,Bumi (Malay),19,
Sarawak,2022,Male,65-69,Bumi (Other),19,
Johor,2022,Male,65-69,Chinese,19,
Kedah,2022,Male,70-74,Bumi (Malay),19,
Perak,2022,Female,65-69,Chinese,19,
Sarawak,2022,Female,65-69,Bumi (Other),19,
Selangor,2022,Male,70-74,Chinese,19,
Johor,2022,Male,0-4,Bumi (Malay),98,
Johor,2022,Male,0-4,Bumi (Other),3,
Johor,2022,Male,0-4,Chinese,30,
Johor,2022,Male,0-4,Indian,7,
Johor,2022,Male,0-4,Other (Citizen),1,
Johor,2022,Male,0-4,Other (Non-Citizen),1,
Johor,2022,Male,15-19,Bumi (Malay),99,
Johor,2022,Male,15-19,Bumi (Other),3,
Johor,2022,Male,15-19,Chinese,49,
Johor,2022,Male,15-19,Indian,11,
Johor,2022,Male,15-19,Other (Citizen),2,
Johor,2022,Male,15-19,Other (Non-Citizen),11,
Johor,2022,Male,20-24,Bumi (Malay),103,
Johor,2022,Male,20-24,Bumi (Other),2,
Johor,2022,Male,20-24,Chinese,54,
Johor,2022,Male,20-24,Indian,11,
Johor,2022,Male,20-24,Other (Citizen),2,
Johor,2022,Male,20-24,Other (Non-Citizen),48,
Johor,2022,Male,25-29,Bumi (Malay),92,
Johor,2022,Male,25-29,Bumi (Other),1,
Johor,2022,Male,25-29,Chinese,51,
Johor,2022,Male,25-29,Indian,10,
Johor,2022,Male,25-29,Other (Citizen),0,
Johor,2022,Male,25-29,Other (Non-Citizen),54,
Johor,2022,Male,30-34,Bumi (Malay),90,
Johor,2022,Male,30-34,Bumi (Other),2,
Johor,2022,Male,30-34,Chinese,47,
Johor,2022,Male,30-34,Indian,10,
Johor,2022,Male,30-34,Other (Citizen),1,
Johor,2022,Male,30-34,Other (Non-Citizen),35,
Johor,2022,Male,35-39,Bumi (Malay),88,
Johor,2022,Male,35-39,Bumi (Other),4,
Johor,2022,Male,35-39,Chinese,47,
Johor,2022,Male,35-39,Indian,10,
Johor,2022,Male,35-39,Other (Citizen),1,
Johor,2022,Male,35-39,Other (Non-Citizen),25,
Johor,2022,Male,40-44,Bumi (Malay),73,
Johor,2022,Male,40-44,Bumi (Other),3,
Johor,2022,Male,40-44,Chinese,45,
Johor,2022,Male,40-44,Indian,10,
Johor,2022,Male,40-44,Other (Citizen),1,
Johor,2022,Male,40-44,Other (Non-Citizen),16,
Johor,2022,Male,45-49,Bumi (Malay),59,
Johor,2022,Male,45-49,Bumi (Other),3,
Johor,2022,Male,45-49,Chinese,43,
Johor,2022,Male,45-49,Indian,8,
Johor,2022,Male,45-49,Other (Citizen),1,
Johor,2022,Male,45-49,Other (Non-Citizen),11,
Johor,2022,Male,50-54,Bumi (Malay),54,
Johor,2022,Male,50-54,Bumi (Other),1,
Johor,2022,Male,50-54,Chinese,40,
Johor,2022,Male,50-54,Indian,7,
Johor,2022,Male,50-54,Other (Citizen),0,
Johor,2022,Male,50-54,Other (Non-Citizen),8,
Johor,2022,Male,55-59,Bumi (Malay),50,
Johor,2022,Male,55-59,Bumi (Other),1,
Johor,2022,Male,55-59,Chinese,37,
Johor,2022,Male,55-59,Indian,6,
Johor,2022,Male,55-59,Other (Citizen),0,
Johor,2022,Male,55-59,Other (Non-Citizen),6,
Johor,2022,Male,60-64,Bumi (Malay),43,
Johor,2022,Male,60-64,Bumi (Other),1,
Johor,2022,Male,60-64,Chinese,32,
Johor,2022,Male,60-64,Indian,5,
Johor,2022,Male,60-64,Other (Citizen),1,
Johor,2022,Male,60-64,Other (Non-Citizen),4,
Johor,2022,Male,70-74,Bumi (Malay),18,
Perak,2022,Male,65-69,Chinese,18,
Pulau Pinang,2022,Female,65-69,Chinese,18,
Pulau Pinang,2022,Male,65-69,Chinese,18,
Sabah,2022,Male,70-74,Bumi (Other),17,
Kelantan,2022,Female,70-74,Bumi (Malay),17,
Perak,2022,Female,70-74,Bumi (Malay),16,
Perak,2022,Female,70-74,Chinese,16,
Sabah,2022,Female,70-74,Bumi (Other),16,
Pahang,2022,Female,65-69,Bumi (Malay),16,
Kelantan,2022,Male,70-74,Bumi (Malay),15,
Terengganu,2022,Female,65-69,Bumi (Malay),15,
Perak,2022,Male,70-74,Chinese,15,
Pahang,2022,Male,65-69,Bumi (Malay),14,
Sarawak,2022,Female,65-69,Chinese,14,
Sarawak,2022,Male,65-69,Chinese,14,
Terengganu,2022,Male,65-69,Bumi (Malay),14,
Perak,2022,Male,70-74,Bumi (Malay),14,
Selangor,2022,Female,75-79,Chinese,13,
Sarawak,2022,Female,70-74,Bumi (Other),13,
Kedah,2022,Female,75-79,Bumi (Malay),13,
Sarawak,2022,Male,70-74,Bumi (Other),12,
Pahang,2022,Female,70-74,Bumi (Malay),12,
Selangor,2022,Female,65-69,Indian,12,
Pahang,2022,Male,70-74,Bumi (Malay),12,
Pulau Pinang,2022,Female,70-74,Chinese,12,
Johor,2022,Female,75-79,Bumi (Malay),11,
Kedah,2022,Female,0-4,Bumi (Malay),68,
Kedah,2022,Female,0-4,Bumi (Other),0,
Kedah,2022,Female,0-4,Chinese,7,
Kedah,2022,Female,0-4,Indian,3,
Kedah,2022,Female,0-4,Other (Citizen),1,
Kedah,2022,Female,0-4,Other (Non-Citizen),4,
Kedah,2022,Female,15-19,Bumi (Malay),67,
Kedah,2022,Female,15-19,Bumi (Other),0,
Kedah,2022,Female,15-19,Chinese,10,
Kedah,2022,Female,15-19,Indian,6,
Kedah,2022,Female,15-19,Other (Citizen),1,
Kedah,2022,Female,15-19,Other (Non-Citizen),1,
Kedah,2022,Female,20-24,Bumi (Malay),79,
Kedah,2022,Female,20-24,Bumi (Other),0,
Kedah,2022,Female,20-24,Chinese,9,
Kedah,2022,Female,20-24,Indian,6,
Kedah,2022,Female,20-24,Other (Citizen),1,
Kedah,2022,Female,20-24,Other (Non-Citizen),3,
Kedah,2022,Female,25-29,Bumi (Malay),78,
Kedah,2022,Female,25-29,Bumi (Other),0,
Kedah,2022,Female,25-29,Chinese,10,
Kedah,2022,Female,25-29,Indian,6,
Kedah,2022,Female,25-29,Other (Citizen),1,
Kedah,2022,Female,25-29,Other (Non-Citizen),3,
Kedah,2022,Female,30-34,Bumi (Malay),61,
Kedah,2022,Female,30-34,Bumi (Other),0,
Kedah,2022,Female,30-34,Chinese,11,
Kedah,2022,Female,30-34,Indian,5,
Kedah,2022,Female,30-34,Other (Citizen),1,
Kedah,2022,Female,30-34,Other (Non-Citizen),2,
Kedah,2022,Female,35-39,Bumi (Malay),55,
Kedah,2022,Female,35-39,Bumi (Other),0,
Kedah,2022,Female,35-39,Chinese,7,
Kedah,2022,Female,35-39,Indian,5,
Kedah,2022,Female,35-39,Other (Citizen),1,
Kedah,2022,Female,35-39,Other (Non-Citizen),2,
Kedah,2022,Female,40-44,Bumi (Malay),47,
Kedah,2022,Female,40-44,Bumi (Other),0,
Kedah,2022,Female,40-44,Chinese,7,
Kedah,2022,Female,40-44,Indian,4,
Kedah,2022,Female,40-44,Other (Citizen),1,
Kedah,2022,Female,40-44,Other (Non-Citizen),2,
Kedah,2022,Female,45-49,Bumi (Malay),44,
Kedah,2022,Female,45-49,Bumi (Other),0,
Kedah,2022,Female,45-49,Chinese,8,
Kedah,2022,Female,45-49,Indian,4,
Kedah,2022,Female,45-49,Other (Citizen),1,
Kedah,2022,Female,45-49,Other (Non-Citizen),1,
Kedah,2022,Female,50-54,Bumi (Malay),44,
Kedah,2022,Female,50-54,Bumi (Other),0,
Kedah,2022,Female,50-54,Chinese,8,
Kedah,2022,Female,50-54,Indian,4,
Kedah,2022,Female,50-54,Other (Citizen),1,
Kedah,2022,Female,50-54,Other (Non-Citizen),0,
Kedah,2022,Female,55-59,Bumi (Malay),41,
Kedah,2022,Female,55-59,Bumi (Other),0,
Kedah,2022,Female,55-59,Chinese,8,
Kedah,2022,Female,55-59,Indian,4,
Kedah,2022,Female,55-59,Other (Citizen),1,
Kedah,2022,Female,55-59,Other (Non-Citizen),0,
Kedah,2022,Female,60-64,Bumi (Malay),36,
Kedah,2022,Female,60-64,Bumi (Other),0,
Kedah,2022,Female,60-64,Chinese,8,
Kedah,2022,Female,60-64,Indian,4,
Kedah,2022,Female,60-64,Other (Citizen),1,
Kedah,2022,Female,60-64,Other (Non-Citizen),0,
Selangor,2022,Male,75-79,Chinese,11,
Johor,2022,Female,70-74,Chinese,11,
Kuala Lumpur,2022,Female,65-69,Bumi (Malay),11,
Pulau Pinang,2022,Male,70-74,Chinese,11,
Selangor,2022,Male,65-69,Indian,11,
Negeri Sembilan,2022,Female,65-69,Bumi (Malay),11,
Kuala Lumpur,2022,Male,65-69,Bumi (Malay),11,
Johor,2022,Male,70-74,Chinese,11,
Sarawak,2022,Female,70-74,Chinese,10,
Sarawak,2022,Male,70-74,Chinese,10,
Negeri Sembilan,2022,Male,65-69,Bumi (Malay),10,
Selangor,2022,Female,80-84,Bumi (Malay),10,
Kuala Lumpur,2022,Female,70-74,Bumi (Malay),10,
Kedah,2022,Male,75-79,Bumi (Malay),10,
Pulau Pinang,2022,Female,65-69,Bumi (Malay),10,
Johor,2022,Male,75-79,Bumi (Malay),10,
Kelantan,2022,Female,75-79,Bumi (Malay),10,
Sabah,2022,Male,75-79,Bumi (Other),10,
Kuala Lumpur,2022,Male,70-74,Bumi (Malay),10,
Perak,2022,Female,75-79,Chinese,10,
Sabah,2022,Female,65-69,Other (Non-Citizen),10,
Kuala Lumpur,2022,Female,65-69,Chinese,10,
Sabah,2022,Female,75-79,Bumi (Other),10,
Sabah,2022,Male,65-69,Other (Non-Citizen),9,
Selangor,2022,Male,80-84,Bumi (Malay),9,
Terengganu,2022,Female,70-74,Bumi (Malay),9,
Perak,2022,Male,75-79,Chinese,9,
Kedah,2022,Male,0-4,Bumi (Malay),74,
Kedah,2022,Male,0-4,Bumi (Other),0,
Kedah,2022,Male,0-4,Chinese,6,
Kedah,2022,Male,0-4,Indian,3,
Kedah,2022,Male,0-4,Other (Citizen),1,
Kedah,2022,Male,0-4,Other (Non-Citizen),6,
Kedah,2022,Male,15-19,Bumi (Malay),72,
Kedah,2022,Male,15-19,Bumi (Other),0,
Kedah,2022,Male,15-19,Chinese,10,
Kedah,2022,Male,15-19,Indian,6,
Kedah,2022,Male,15-19,Other (Citizen),1,
Kedah,2022,Male,15-19,Other (Non-Citizen),4,
Kedah,2022,Male,20-24,Bumi (Malay),86,
Kedah,2022,Male,20-24,Bumi (Other),0,
Kedah,2022,Male,20-24,Chinese,11,
Kedah,2022,Male,20-24,Indian,6,
Kedah,2022,Male,20-24,Other (Citizen),2,
Kedah,2022,Male,20-24,Other (Non-Citizen),11,
Kedah,2022,Male,25-29,Bumi (Malay),81,
Kedah,2022,Male,25-29,Bumi (Other),0,
Kedah,2022,Male,25-29,Chinese,11,
Kedah,2022,Male,25-29,Indian,6,
Kedah,2022,Male,25-29,Other (Citizen),1,
Kedah,2022,Male,25-29,Other (Non-Citizen),14,
Kedah,2022,Male,30-34,Bumi (Malay),63,
Kedah,2022,Male,30-34,Bumi (Other),0,
Kedah,2022,Male,30-34,Chinese,9,
Kedah,2022,Male,30-34,Indian,5,
Kedah,2022,Male,30-34,Other (Citizen),1,
Kedah,2022,Male,30-34,Other (Non-Citizen),8,
Kedah,2022,Male,35-39,Bumi (Malay),51,
Kedah,2022,Male,35-39,Bumi (Other),0,
Kedah,2022,Male,35-39,Chinese,8,
Kedah,2022,Male,35-39,Indian,4,
Kedah,2022,Male,35-39,Other (Citizen),1,
Kedah,2022,Male,35-39,Other (Non-Citizen),6,
Kedah,2022,Male,40-44,Bumi (Malay),45,
Kedah,2022,Male,40-44,Bumi (Other),0,
Kedah,2022,Male,40-44,Chinese,8,
Kedah,2022,Male,40-44,Indian,4,
Kedah,2022,Male,40-44,Other (Citizen),1,
Kedah,2022,Male,40-44,Other (Non-Citizen),3,
Kedah,2022,Male,45-49,Bumi (Malay),43,
Kedah,2022,Male,45-49,Bumi (Other),0,
Kedah,2022,Male,45-49,Chinese,7,
Kedah,2022,Male,45-49,Indian,3,
Kedah,2022,Male,45-49,Other (Citizen),1,
Kedah,2022,Male,45-49,Other (Non-Citizen),2,
Kedah,2022,Male,50-54,Bumi (Malay),40,
Kedah,2022,Male,50-54,Bumi (Other),0,
Kedah,2022,Male,50-54,Chinese,7,
Kedah,2022,Male,50-54,Indian,3,
Kedah,2022,Male,50-54,Other (Citizen),1,
Kedah,2022,Male,50-54,Other (Non-Citizen),1,
Kedah,2022,Male,55-59,Bumi (Malay),38,
Kedah,2022,Male,55-59,Bumi (Other),0,
Kedah,2022,Male,55-59,Chinese,8,
Kedah,2022,Male,55-59,Indian,3,
Kedah,2022,Male,55-59,Other (Citizen),1,
Kedah,2022,Male,55-59,Other (Non-Citizen),1,
Kedah,2022,Male,60-64,Bumi (Malay),33,
Kedah,2022,Male,60-64,Bumi (Other),0,
Kedah,2022,Male,60-64,Chinese,8,
Kedah,2022,Male,60-64,Indian,3,
Kedah,2022,Male,60-64,Other (Citizen),1,
Kedah,2022,Male,60-64,Other (Non-Citizen),0,
Pulau Pinang,2022,Male,65-69,Bumi (Malay),9,
Kuala Lumpur,2022,Male,65-69,Chinese,9,
Selangor,2022,Female,70-74,Indian,9,
Melaka,2022,Female,65-69,Bumi (Malay),9,
Perak,2022,Female,75-79,Bumi (Malay),9,
Kedah,2022,Female,80-84,Bumi (Malay),9,
Kelantan,2022,Male,75-79,Bumi (Malay),9,
Selangor,2022,Male,65-69,Other (Non-Citizen),9,
Selangor,2022,Male,85 and above,Bumi (Malay),8,
Terengganu,2022,Male,70-74,Bumi (Malay),8,
Sarawak,2022,Female,75-79,Bumi (Other),8,
Melaka,2022,Male,65-69,Bumi (Malay),8,
Sarawak,2022,Female,65-69,Bumi (Malay),8,
Kuala Lumpur,2022,Female,70-74,Chinese,8,
Selangor,2022,Male,70-74,Indian,8,
Sarawak,2022,Male,65-69,Bumi (Malay),8,
Selangor,2022,Female,85 and above,Bumi (Malay),7,
Johor,2022,Female,75-79,Chinese,7,
Kuala Lumpur,2022,Male,70-74,Chinese,7,
Johor,2022,Male,75-79,Chinese,7,
Negeri Sembilan,2022,Female,70-74,Bumi (Malay),7,
Perak,2022,Female,80-84,Chinese,7,
Sarawak,2022,Male,75-79,Bumi (Other),7,
Johor,2022,Female,80-84,Bumi (Malay),7,
Negeri Sembilan,2022,Male,70-74,Bumi (Malay),7,
Pahang,2022,Female,75-79,Bumi (Malay),7,
Perak,2022,Female,65-69,Indian,7,
Pulau Pinang,2022,Female,75-79,Chinese,7,
Kelantan,2022,Female,0-4,Bumi (Malay),81,
Kelantan,2022,Female,0-4,Bumi (Other),2,
Kelantan,2022,Female,0-4,Chinese,1,
Kelantan,2022,Female,0-4,Indian,0,
Kelantan,2022,Female,0-4,Other (Citizen),0,
Kelantan,2022,Female,0-4,Other (Non-Citizen),0,
Kelantan,2022,Female,15-19,Bumi (Malay),91,
Kelantan,2022,Female,15-19,Bumi (Other),1,
Kelantan,2022,Female,15-19,Chinese,2,
Kelantan,2022,Female,15-19,Indian,0,
Kelantan,2022,Female,15-19,Other (Citizen),0,
Kelantan,2022,Female,15-19,Other (Non-Citizen),1,
Kelantan,2022,Female,20-24,Bumi (Malay),91,
Kelantan,2022,Female,20-24,Bumi (Other),1,
Kelantan,2022,Female,20-24,Chinese,2,
Kelantan,2022,Female,20-24,Indian,1,
Kelantan,2022,Female,20-24,Other (Citizen),0,
Kelantan,2022,Female,20-24,Other (Non-Citizen),1,
Kelantan,2022,Female,25-29,Bumi (Malay),65,
Kelantan,2022,Female,25-29,Bumi (Other),1,
Kelantan,2022,Female,25-29,Chinese,2,
Kelantan,2022,Female,25-29,Indian,0,
Kelantan,2022,Female,25-29,Other (Citizen),0,
Kelantan,2022,Female,25-29,Other (Non-Citizen),1,
Kelantan,2022,Female,30-34,Bumi (Malay),54,
Kelantan,2022,Female,30-34,Bumi (Other),1,
Kelantan,2022,Female,30-34,Chinese,1,
Kelantan,2022,Female,30-34,Indian,0,
Kelantan,2022,Female,30-34,Other (Citizen),0,
Kelantan,2022,Female,30-34,Other (Non-Citizen),2,
Kelantan,2022,Female,35-39,Bumi (Malay),51,
Kelantan,2022,Female,35-39,Bumi (Other),1,
Kelantan,2022,Female,35-39,Chinese,1,
Kelantan,2022,Female,35-39,Indian,0,
Kelantan,2022,Female,35-39,Other (Citizen),0,
Kelantan,2022,Female,35-39,Other (Non-Citizen),1,
Kelantan,2022,Female,40-44,Bumi (Malay),42,
Kelantan,2022,Female,40-44,Bumi (Other),0,
Kelantan,2022,Female,40-44,Chinese,1,
Kelantan,2022,Female,40-44,Indian,0,
Kelantan,2022,Female,40-44,Other (Citizen),0,
Kelantan,2022,Female,40-44,Other (Non-Citizen),1,
Kelantan,2022,Female,45-49,Bumi (Malay),40,
Kelantan,2022,Female,45-49,Bumi (Other),0,
Kelantan,2022,Female,45-49,Chinese,1,
Kelantan,2022,Female,45-49,Indian,0,
Kelantan,2022,Female,45-49,Other (Citizen),0,
Kelantan,2022,Female,45-49,Other (Non-Citizen),1,
Kelantan,2022,Female,50-54,Bumi (Malay),40,
Kelantan,2022,Female,50-54,Bumi (Other),0,
Kelantan,2022,Female,50-54,Chinese,1,
Kelantan,2022,Female,50-54,Indian,0,
Kelantan,2022,Female,50-54,Other (Citizen),0,
Kelantan,2022,Female,50-54,Other (Non-Citizen),1,
Kelantan,2022,Female,55-59,Bumi (Malay),39,
Kelantan,2022,Female,55-59,Bumi (Other),0,
Kelantan,2022,Female,55-59,Chinese,2,
Kelantan,2022,Female,55-59,Indian,0,
Kelantan,2022,Female,55-59,Other (Citizen),0,
Kelantan,2022,Female,55-59,Other (Non-Citizen),1,
Kelantan,2022,Female,60-64,Bumi (Malay),35,
Kelantan,2022,Female,60-64,Bumi (Other),0,
Kelantan,2022,Female,60-64,Chinese,2,
Kelantan,2022,Female,60-64,Indian,0,
Kelantan,2022,Female,60-64,Other (Citizen),0,
Kelantan,2022,Female,60-64,Other (Non-Citizen),1,
Selangor,2022,Female,65-69,Other (Non-Citizen),7,
Perak,2022,Male,75-79,Bumi (Malay),7,
Kuala Lumpur,2022,Female,75-79,Bumi (Malay),6,
Pahang,2022,Male,75-79,Bumi (Malay),6,
Selangor,2022,Female,80-84,Chinese,6,
Kedah,2022,Male,80-84,Bumi (Malay),6,
Terengganu,2022,Female,75-79,Bumi (Malay),6,
Perak,2022,Male,80-84,Chinese,6,
Sabah,2022,Male,80-84,Bumi (Other),6,
Kuala Lumpur,2022,Male,75-79,Bumi (Malay),6,
Johor,2022,Male,80-84,Bumi (Malay),6,
Melaka,2022,Female,70-74,Bumi (Malay),6,
Sarawak,2022,Female,75-79,Chinese,6,
Negeri Sembilan,2022,Female,65-69,Chinese,6,
Negeri Sembilan,2022,Male,65-69,Chinese,6,
Sabah,2022,Female,80-84,Bumi (Other),6,
Sarawak,2022,Male,75-79,Chinese,6,
Kelantan,2022,Female,80-84,Bumi (Malay),5,
Perak,2022,Male,65-69,Indian,5,
Pulau Pinang,2022,Male,75-79,Chinese,5,
Sabah,2022,Male,85 and above,Bumi (Other),5,
Johor,2022,Male,85 and above,Bumi (Malay),5,
Kedah,2022,Female,65-69,Chinese,5,
Kelantan,2022,Male,0-4,Bumi (Malay),85,
Kelantan,2022,Male,0-4,Bumi (Other),2,
Kelantan,2022,Male,0-4,Chinese,1,
Kelantan,2022,Male,0-4,Indian,0,
Kelantan,2022,Male,0-4,Other (Citizen),0,
Kelantan,2022,Male,0-4,Other (Non-Citizen),0,
Kelantan,2022,Male,15-19,Bumi (Malay),96,
Kelantan,2022,Male,15-19,Bumi (Other),1,
Kelantan,2022,Male,15-19,Chinese,2,
Kelantan,2022,Male,15-19,Indian,0,
Kelantan,2022,Male,15-19,Other (Citizen),0,
Kelantan,2022,Male,15-19,Other (Non-Citizen),1,
Kelantan,2022,Male,20-24,Bumi (Malay),86,
Kelantan,2022,Male,20-24,Bumi (Other),1,
Kelantan,2022,Male,20-24,Chinese,2,
Kelantan,2022,Male,20-24,Indian,0,
Kelantan,2022,Male,20-24,Other (Citizen),0,
Kelantan,2022,Male,20-24,Other (Non-Citizen),2,
Kelantan,2022,Male,25-29,Bumi (Malay),66,
Kelantan,2022,Male,25-29,Bumi (Other),1,
Kelantan,2022,Male,25-29,Chinese,1,
Kelantan,2022,Male,25-29,Indian,0,
Kelantan,2022,Male,25-29,Other (Citizen),0,
Kelantan,2022,Male,25-29,Other (Non-Citizen),4,
Kelantan,2022,Male,30-34,Bumi (Malay),56,
Kelantan,2022,Male,30-34,Bumi (Other),1,
Kelantan,2022,Male,30-34,Chinese,2,
Kelantan,2022,Male,30-34,Indian,0,
Kelantan,2022,Male,30-34,Other (Citizen),0,
Kelantan,2022,Male,30-34,Other (Non-Citizen),4,
Kelantan,2022,Male,35-39,Bumi (Malay),52,
Kelantan,2022,Male,35-39,Bumi (Other),1,
Kelantan,2022,Male,35-39,Chinese,1,
Kelantan,2022,Male,35-39,Indian,0,
Kelantan,2022,Male,35-39,Other (Citizen),0,
Kelantan,2022,Male,35-39,Other (Non-Citizen),3,
Kelantan,2022,Male,40-44,Bumi (Malay),43,
Kelantan,2022,Male,40-44,Bumi (Other),1,
Kelantan,2022,Male,40-44,Chinese,1,
Kelantan,2022,Male,40-44,Indian,0,
Kelantan,2022,Male,40-44,Other (Citizen),0,
Kelantan,2022,Male,40-44,Other (Non-Citizen),2,
Kelantan,2022,Male,45-49,Bumi (Malay),37,
Kelantan,2022,Male,45-49,Bumi (Other),0,
Kelantan,2022,Male,45-49,Chinese,1,
Kelantan,2022,Male,45-49,Indian,0,
Kelantan,2022,Male,45-49,Other (Citizen),0,
Kelantan,2022,Male,45-49,Other (Non-Citizen),1,
Kelantan,2022,Male,50-54,Bumi (Malay),36,
Kelantan,2022,Male,50-54,Bumi (Other),0,
Kelantan,2022,Male,50-54,Chinese,2,
Kelantan,2022,Male,50-54,Indian,0,
Kelantan,2022,Male,50-54,Other (Citizen),0,
Kelantan,2022,Male,50-54,Other (Non-Citizen),1,
Kelantan,2022,Male,55-59,Bumi (Malay),35,
Kelantan,2022,Male,55-59,Bumi (Other),0,
Kelantan,2022,Male,55-59,Chinese,2,
Kelantan,2022,Male,55-59,Indian,0,
Kelantan,2022,Male,55-59,Other (Citizen),0,
Kelantan,2022,Male,55-59,Other (Non-Citizen),1,
Kelantan,2022,Male,60-64,Bumi (Malay),32,
Kelantan,2022,Male,60-64,Bumi (Other),0,
Kelantan,2022,Male,60-64,Chinese,2,
Kelantan,2022,Male,60-64,Indian,0,
Kelantan,2022,Male,60-64,Other (Citizen),0,
Kelantan,2022,Male,60-64,Other (Non-Citizen),0,
Selangor,2022,Male,80-84,Chinese,5,
Kuala Lumpur,2022,Female,75-79,Chinese,5,
Pulau Pinang,2022,Female,70-74,Bumi (Malay),5,
Sarawak,2022,Female,70-74,Bumi (Malay),5,
Terengganu,2022,Male,75-79,Bumi (Malay),5,
Melaka,2022,Female,65-69,Chinese,5,
Perak,2022,Female,80-84,Bumi (Malay),5,
Sarawak,2022,Male,70-74,Bumi (Malay),5,
Johor,2022,Female,85 and above,Bumi (Malay),5,
Melaka,2022,Male,70-74,Bumi (Malay),5,
Sabah,2022,Male,70-74,Other (Non-Citizen),5,
Kedah,2022,Female,85 and above,Bumi (Malay),5,
Kedah,2022,Male,65-69,Chinese,5,
